Year,Month,Agency,Criminality,Length of Stay
2023,Nov,ICE,Pending Criminal Charges,43.3
2023,Nov,ICE,Other Immigration Violator,18.3
2023,Nov,Overall Average,Average,47.7
2023,Nov,Overall Average,Convicted Criminal,48.2
2023,Nov,Overall Average,Pending Criminal Charges,45.9
2023,Nov,Overall Average,Other Immigration Violator,47.7
2023,Dec,CBP,Average,54.4
2023,Dec,CBP,Convicted Criminal,53.0
2023,Dec,CBP,Pending Criminal Charges,61.7
2023,Dec,CBP,Other Immigration Violator,54.5
2023,Dec,ICE,Average,39.7
2023,Dec,ICE,Convicted Criminal,50.2
2023,Dec,ICE,Pending Criminal Charges,46.5
2023,Dec,ICE,Other Immigration Violator,13.0
2023,Dec,Overall Average,Average,49.5
2023,Dec,Overall Average,Convicted Criminal,50.4
2023,Dec,Overall Average,Pending Criminal Charges,49.4
2023,Dec,Overall Average,Other Immigration Violator,49.2
2024,Jan,CBP,Average,58.3
2024,Jan,CBP,Convicted Criminal,45.6
2024,Jan,CBP,Pending Criminal Charges,63.9
2024,Jan,CBP,Other Immigration Violator,59.6
2024,Jan,ICE,Average,49.8
2024,Jan,ICE,Convicted Criminal,54.2
2024,Jan,ICE,Pending Criminal Charges,52.1
2024,Jan,ICE,Other Immigration Violator,29.7
2024,Jan,Overall Average,Average,55.5
2024,Jan,Overall Average,Convicted Criminal,52.2
2024,Jan,Overall Average,Pending Criminal Charges,54.7
2024,Jan,Overall Average,Other Immigration Violator,57.1
2024,Feb,CBP,Average,44.9
2024,Feb,CBP,Convicted Criminal,45.2
2024,Feb,CBP,Pending Criminal Charges,58.9
2024,Feb,CBP,Other Immigration Violator,44.5
2024,Feb,ICE,Average,43.6
2024,Feb,ICE,Convicted Criminal,46.8
2024,Feb,ICE,Pending Criminal Charges,44.3
2024,Feb,ICE,Other Immigration Violator,27.6
2024,Feb,Overall Average,Average,44.5
2024,Feb,Overall Average,Convicted Criminal,46.5
2024,Feb,Overall Average,Pending Criminal Charges,47.5
2024,Feb,Overall Average,Other Immigration Violator,43.5
2024,Mar,CBP,Average,45.6
2024,Mar,CBP,Convicted Criminal,44.5
2024,Mar,CBP,Pending Criminal Charges,45.9
2024,Mar,CBP,Other Immigration Violator,47.0
2024,Mar,ICE,Average,42.2
2024,Mar,ICE,Convicted Criminal,44.3
2024,Mar,ICE,Pending Criminal Charges,43.8
2024,Mar,ICE,Other Immigration Violator,29.7
2024,Mar,Overall Average,Average,45.5
2024,Mar,Overall Average,Convicted Criminal,44.9
2024,Mar,Overall Average,Pending Criminal Charges,43.6
2024,Mar,Overall Average,Other Immigration Violator,45.9
2024,Apr,CBP,Average,51.2
2024,Apr,CBP,Convicted Criminal,44.7
2024,Apr,CBP,Pending Criminal Charges,60.6
2024,Apr,CBP,Other Immigration Violator,51.5
2024,Apr,ICE,Average,46.2
2024,Apr,ICE,Convicted Criminal,49.4
2024,Apr,ICE,Pending Criminal Charges,45.6
2024,Apr,ICE,Other Immigration Violator,33.1
2024,Apr,Overall Average,Average,49.6
2024,Apr,Overall Average,Convicted Criminal,48.4
2024,Apr,Overall Average,Pending Criminal Charges,48.8
2024,Apr,Overall Average,Other Immigration Violator,50.2
2024,May,CBP,Average,46.7
2024,May,CBP,Convicted Criminal,44.8
2024,May,CBP,Pending Criminal Charges,55.1
2024,May,CBP,Other Immigration Violator,46.5
2024,May,ICE,Average,45.7
2024,May,ICE,Convicted Criminal,48.6
2024,May,ICE,Pending Criminal Charges,41.4
2024,May,ICE,Other Immigration Violator,35.9
2024,May,Overall Average,Average,46.4
2024,May,Overall Average,Convicted Criminal,48.6
2024,May,Overall Average,Pending Criminal Charges,44.2
2024,May,Overall Average,Other Immigration Violator,45.9
2024,Jun,CBP,Average,42.6
2024,Jun,CBP,Convicted Criminal,40.2
2024,Jun,CBP,Pending Criminal Charges,50.8
2024,Jun,CBP,Other Immigration Violator,42.6
2024,Jun,ICE,Average,47.9
2024,Jun,ICE,Convicted Criminal,49.9
2024,Jun,ICE,Pending Criminal Charges,45.9
2024,Jun,ICE,Other Immigration Violator,42.2
2024,Jun,Overall Average,Average,44.1
2024,Jun,Overall Average,Convicted Criminal,47.8
2024,Jun,Overall Average,Pending Criminal Charges,46.9
2024,Jun,Overall Average,Other Immigration Violator,42.5
2024,Jul,CBP,Average,42.8
2024,Jul,CBP,Convicted Criminal,44.7
2024,Jul,CBP,Pending Criminal Charges,44.2
2024,Jul,CBP,Other Immigration Violator,42.7
2024,Jul,ICE,Average,49.4
2024,Jul,ICE,Convicted Criminal,51.0
2024,Jul,ICE,Pending Criminal Charges,50.4
2024,Jul,ICE,Other Immigration Violator,37.0
2024,Jul,Overall Average,Average,44.4
2024,Jul,Overall Average,Convicted Criminal,49.0
2024,Jul,Overall Average,Pending Criminal Charges,48.8
2024,Jul,Overall Average,Other Immigration Violator,42.4
2024,Aug,CBP,Average,42.6
2024,Aug,CBP,Convicted Criminal,37.7
2024,Aug,CBP,Pending Criminal Charges,55.8
2024,Aug,CBP,Other Immigration Violator,44.4
2024,Aug,ICE,Average,49.3
2024,Aug,ICE,Convicted Criminal,52.0
2024,Aug,ICE,Pending Criminal Charges,47.4
2024,Aug,ICE,Other Immigration Violator,37.2
2024,Aug,Overall Average,Average,45.9
2024,Aug,Overall Average,Convicted Criminal,49.1
2024,Aug,Overall Average,Pending Criminal Charges,48.8
2024,Aug,Overall Average,Other Immigration Violator,44.0
2024,Sep,CBP,Average,44.2
2024,Sep,CBP,Convicted Criminal,47.0
2024,Sep,CBP,Pending Criminal Charges,58.1
2024,Sep,CBP,Other Immigration Violator,44.3
2024,Sep,ICE,Average,51.3
2024,Sep,ICE,Convicted Criminal,54.3
2024,Sep,ICE,Pending Criminal Charges,48.9
2024,Sep,ICE,Other Immigration Violator,38.3
2024,Sep,Overall Average,Average,46.7
2024,Sep,Overall Average,Convicted Criminal,50.5
2024,Sep,Overall Average,Pending Criminal Charges,50.2
2024,Sep,Overall Average,Other Immigration Violator,43.2
2024,Oct,CBP,Convicted Criminal,44.3
2024,Oct,CBP,Pending Criminal Charges,56.3
2024,Oct,CBP,Other Immigration Violator,44.4
2024,Oct,ICE,Convicted Criminal,54.8
2024,Oct,ICE,Pending Criminal Charges,49.2
2024,Oct,ICE,Other Immigration Violator,34.6
2024,Oct,Overall Average,Convicted Criminal,46.9
2024,Oct,Overall Average,Pending Criminal Charges,50.3
2024,Oct,Overall Average,Other Immigration Violator,43.8
2024,Nov,CBP,Convicted Criminal,48.1
2024,Nov,CBP,Pending Criminal Charges,61.8
2024,Nov,CBP,Other Immigration Violator,48.2
2024,Nov,ICE,Convicted Criminal,50.8
2024,Nov,ICE,Pending Criminal Charges,52.8
2024,Nov,ICE,Other Immigration Violator,43.1
2024,Nov,Overall Average,Convicted Criminal,49.0
2024,Nov,Overall Average,Pending Criminal Charges,54.1
2024,Nov,Overall Average,Other Immigration Violator,47.9
2024,Dec,CBP,Convicted Criminal,46.8
2024,Dec,CBP,Pending Criminal Charges,63.7
2024,Dec,CBP,Other Immigration Violator,47.0
2024,Dec,ICE,Convicted Criminal,55.0
2024,Dec,ICE,Pending Criminal Charges,50.3
2024,Dec,ICE,Other Immigration Violator,44.7
2024,Dec,Overall Average,Convicted Criminal,49.0
2024,Dec,Overall Average,Pending Criminal Charges,52.1
2024,Dec,Overall Average,Other Immigration Violator,46.9
2025,Jan,CBP,Convicted Criminal,52.3
2025,Jan,CBP,Pending Criminal Charges,64.9
2025,Jan,CBP,Other Immigration Violator,53.0
2025,Jan,ICE,Convicted Criminal,53.2
2025,Jan,ICE,Pending Criminal Charges,52.9
2025,Jan,ICE,Other Immigration Violator,41.8
2025,Jan,Overall Average,Convicted Criminal,52.2
2025,Jan,Overall Average,Pending Criminal Charges,54.4
2025,Jan,Overall Average,Other Immigration Violator,52.2
2025,Feb,CBP,Convicted Criminal,65.4
2025,Feb,CBP,Pending Criminal Charges,64.2
2025,Feb,CBP,Other Immigration Violator,69.1
2025,Feb,ICE,Convicted Criminal,45.6
2025,Feb,ICE,Pending Criminal Charges,46.4
2025,Feb,ICE,Other Immigration Violator,21.5
2025,Feb,Overall Average,Convicted Criminal,51.2
2025,Feb,Overall Average,Pending Criminal Charges,48.3
2025,Feb,Overall Average,Other Immigration Violator,57.7
2025,Mar,CBP,Convicted Criminal,76.8
2025,Mar,CBP,Pending Criminal Charges,59.3
2025,Mar,CBP,Other Immigration Violator,94.2
2025,Mar,ICE,Convicted Criminal,47.1
2025,Mar,ICE,Pending Criminal Charges,44.9
2025,Mar,ICE,Other Immigration Violator,29.7
2025,Mar,Overall Average,Convicted Criminal,51.9
2025,Mar,Overall Average,Pending Criminal Charges,46.0
2025,Mar,Overall Average,Other Immigration Violator,65.4
2025,Apr,CBP,Convicted Criminal,68.5
2025,Apr,CBP,Pending Criminal Charges,38.0
2025,Apr,CBP,Other Immigration Violator,91.3
2025,Apr,ICE,Convicted Criminal,42.9
2025,Apr,ICE,Pending Criminal Charges,40.2
2025,Apr,ICE,Other Immigration Violator,31.3
2025,Apr,Overall Average,Convicted Criminal,46.2
2025,Apr,Overall Average,Pending Criminal Charges,40.1
2025,Apr,Overall Average,Other Immigration Violator,60.5
